Date,Place,Latitude,Longitude
05/01/2010,Beitbridge,-22.2146,30.003
05/06/2010,Ressano Garcia,-25.4435,31.9915
05/11/2010,Ressano Garcia,-25.4435,31.9915
05/17/2010,Beitbridge,-22.2146,30.003
05/24/2010,Mavalane,-25.92,32.5742
05/24/2010,O.R. Tambo,-26.1372,28.2411
05/28/2010,O.R. Tambo,-26.1372,28.2411
06/06/2010,O.R. Tambo,-26.1372,28.2411
06/11/2010,Lebombo,-25.4395,31.9991
08/11/2010,Bulawayo Airport,-20.0174,28.6174
08/11/2010,O.R. Tambo,-26.1372,28.2411
08/12/2010,Bulawayo Airport,-20.0174,28.6174
08/12/2010,O.R. Tambo,-26.1372,28.2411
08/31/2010,O.R. Tambo,-26.1372,28.2411
08/31/2010,Jomo Kenyatta International Airport,-1.3192,36.9273
09/04/2010,Jomo Kenyatta International Airport,-1.3192,36.9273
09/08/2010,Mavalane,-25.92,32.5742
09/11/2010,Mavalane,-25.92,32.5742
09/11/2010,O.R. Tambo,-26.1372,28.2411
09/13/2010,Beitbridge,-22.2146,30.003
09/13/2010,Beitbridge,-22.2146,30.003
09/17/2010,Beitbridge,-22.2146,30.003
09/17/2010,Beitbridge,-22.2146,30.003
09/27/2010,Bulawayo Airport,-20.0174,28.6174
09/27/2010,O.R. Tambo,-26.1372,28.2411
09/30/2010,Bulawayo Airport,-20.0174,28.6174
09/30/2010,O.R. Tambo,-26.1372,28.2411
10/04/2010,Jomo Kenyatta International Airport,-1.3192,36.9273
10/04/2010,O.R. Tambo,-26.1372,28.2411
10/08/2010,Jomo Kenyatta International Airport,-1.3192,36.9273
10/08/2010,O.R. Tambo,-26.1372,28.2411
10/09/2010,O.R. Tambo,-26.1372,28.2411
10/19/2010,Lilongwe,-13.9632,33.7741
10/19/2010,O.R. Tambo,-26.1372,28.2411
10/22/2010,Lilongwe,-13.9632,33.7741
10/22/2010,O.R. Tambo,-26.1372,28.2411
10/25/2010,Julius Nyerere International Airport,-13.9632,33.7741
10/25/2010,O.R. Tambo,-26.1372,28.2411
10/30/2010,Julius Nyerere International Airport,-13.9632,33.7741
11/01/2010,Lusaka International Airport,-15.3308,28.4583
11/01/2010,O.R. Tambo,-26.1372,28.2411
11/05/2010,O.R. Tambo,-26.1372,28.2411
11/07/2010,O.R. Tambo,-26.1372,28.2411
11/09/2010,Hosea Kutaro Airport,-22.5649,17.0805
11/10/2010,Lusaka International Airport,-15.3308,28.4583
11/11/2010,Beitbridge,-22.2146,30.003
11/11/2010,Hosea Kutaro Airport,-22.5649,17.0805
11/14/2010,Beitbridge,-22.2146,30.003
11/14/2010,Beitbridge,-22.2146,30.003
12/01/2010,Beitbridge,-22.2146,30.003
12/17/2010,Beitbridge,-22.2146,30.003
12/17/2010,Beitbridge,-22.2146,30.003
12/26/2010,Beitbridge,-22.2146,30.003
12/26/2010,Beitbridge,-22.2146,30.003
01/30/2011,Jomo Kenyatta International Airport,-1.3192,36.9273
01/30/2011,O.R. Tambo,-26.1372,28.2411
02/06/2011,Jomo Kenyatta International Airport,-1.3192,36.9273
02/06/2011,Kotoka International Airport,5.6052,-0.1674
02/10/2011,Kotoka International Airport,5.6052,-0.1674
02/11/2011,O.R. Tambo,-26.1372,28.2411
02/21/2011,O.R. Tambo,-26.1372,28.2411
02/22/2011,Frankfurt,50.1109,8.6821
02/25/2011,Frankfurt,50.1109,8.6821
02/26/2011,O.R. Tambo,-26.1372,28.2411
04/20/2011,Beitbridge,-22.2146,30.003
04/20/2011,Beitbridge,-22.2146,30.003
04/27/2011,Beitbridge,-22.2146,30.003
04/27/2011,Beitbridge,-22.2146,30.003
04/30/2011,Lebombo,-25.4395,31.9991
04/30/2011,Ressano Garcia,-25.4435,31.9915
05/01/2011,Ressano Garcia,-25.4435,31.9915
06/06/2011,O.R. Tambo,-26.1372,28.2411
06/07/2011,Washington,38.9072,-77.0369
07/03/2011,O.R. Tambo,-26.1372,28.2411
07/21/2011,Livingstone International Airport,-17.8219,25.8223
07/21/2011,O.R. Tambo,-26.1372,28.2411
07/27/2011,Livingstone International Airport,-17.8219,25.8223
07/27/2011,O.R. Tambo,-26.1372,28.2411
08/26/2011,Beitbridge,-22.2146,30.003
08/26/2011,Beitbridge,-22.2146,30.003
08/28/2011,Beitbridge,-22.2146,30.003
08/28/2011,Beitbridge,-22.2146,30.003
09/14/2011,Beitbridge,-22.2146,30.003
09/14/2011,Beitbridge,-22.2146,30.003
09/18/2011,Machipanda,-18.2993,32.7509
09/21/2011,Machipanda,-18.2993,32.7509
09/24/2011,Harare International Airport,-17.9318,31.0928
09/24/2011,O.R. Tambo,-26.1372,28.2411
