Date,Place,Latitude,Longitude,Location
08/02/2009,Geneve,46.2044,6.1432,Switzerland
13/12/2007,Groblersbrug,-22.5408,29.3807,Botswana
28/11/2009,Groblersbrug,-22.5408,29.3807,Botswana
05/04/2009,Harare International Airport,-17.9318,31.0928,Zimbabwe
14/04/2009,Harare International Airport,-17.9318,31.0928,Zimbabwe
24/09/2011,Harare International Airport,-17.9318,31.0928,Zimbabwe
03/11/2011,Harare International Airport,-17.9318,31.0928,Zimbabwe
06/08/2007,Hosea Kutaro Airport,-22.5649,17.0805,Namibia
08/08/2007,Hosea Kutaro Airport,-22.5649,17.0805,Namibia
18/04/2010,Hosea Kutaro Airport,-22.5649,17.0805,Namibia
24/04/2010,Hosea Kutaro Airport,-22.5649,17.0805,Namibia
09/11/2010,Hosea Kutaro Airport,-22.5649,17.0805,Namibia
11/11/2010,Hosea Kutaro Airport,-22.5649,17.0805,Namibia
26/10/2009,Jomo Kenyatta International Airport,-1.3192,36.9273,Kenya
31/10/2009,Jomo Kenyatta International Airport,-1.3192,36.9273,Kenya
04/10/2010,Jomo Kenyatta International Airport,-1.3192,36.9273,Kenya
08/10/2010,Jomo Kenyatta International Airport,-1.3192,36.9273,Kenya
30/01/2011,Jomo Kenyatta International Airport,-1.3192,36.9273,Kenya
06/02/2011,Jomo Kenyatta International Airport,-1.3192,36.9273,Kenya
25/10/2010,Julius Nyerere International Airport,-13.9632,33.7741,Tanzania
30/10/2010,Julius Nyerere International Airport,-13.9632,33.7741,Tanzania
08/03/2008,Kamuzu International Airport,-13.7893,33.7804,Malawi
19/03/2008,Kamuzu International Airport,-13.7893,33.7804,Malawi
06/02/2011,Kotoka International Airport,5.6052,-0.1674,Ghana
10/02/2011,Kotoka International Airport,5.6052,-0.1674,Ghana
11/06/2010,Lebombo,-25.4395,31.9991,Swaziland
30/04/2011,Lebombo,-25.4395,31.9991,Swaziland
19/10/2010,Lilongwe,-13.9632,33.7741,Malawi
22/10/2010,Lilongwe,-13.9632,33.7741,Malawi
21/07/2011,Livingstone International Airport,-17.8219,25.8223,Zambia
27/07/2011,Livingstone International Airport,-17.8219,25.8223,Zambia
28/10/2007,Lusaka International Airport,-15.3308,28.4583,Zambia
01/11/2007,Lusaka International Airport,-15.3308,28.4583,Zambia
01/11/2010,Lusaka International Airport,-15.3308,28.4583,Zambia
10/11/2010,Lusaka International Airport,-15.3308,28.4583,Zambia
20/10/2009,Machipanda,-18.2993,32.7509,Mozambique
24/10/2009,Machipanda,-18.2993,32.7509,Mozambique
18/09/2011,Machipanda,-18.2993,32.7509,Mozambique
21/09/2011,Machipanda,-18.2993,32.7509,Mozambique
13/12/2007,Martins Drift,-22.2817,21.6802,Botswana
26/11/2009,Martins Drift,-22.2817,21.6802,Botswana
28/11/2009,Martins Drift,-22.2817,21.6802,Botswana
06/12/2008,Mavalane,-25.92,32.5742,Mozambique
11/12/2008,Mavalane,-25.92,32.5742,Mozambique
22/11/2009,Mavalane,-25.92,32.5742,Mozambique
25/11/2009,Mavalane,-25.92,32.5742,Mozambique
20/02/2010,Mavalane,-25.92,32.5742,Mozambique
24/05/2010,Mavalane,-25.92,32.5742,Mozambique
08/09/2010,Mavalane,-25.92,32.5742,Mozambique
11/09/2010,Mavalane,-25.92,32.5742,Mozambique
01/10/2011,New York City,40.7128,-74.006,USA
20/06/2007,O.R. Tambo,-26.1372,28.2411,South Africa
06/07/2007,O.R. Tambo,-26.1372,28.2411,South Africa
06/08/2007,O.R. Tambo,-26.1372,28.2411,South Africa
08/08/2007,O.R. Tambo,-26.1372,28.2411,South Africa
05/09/2007,O.R. Tambo,-26.1372,28.2411,South Africa
19/09/2007,O.R. Tambo,-26.1372,28.2411,South Africa
28/10/2007,O.R. Tambo,-26.1372,28.2411,South Africa
01/11/2007,O.R. Tambo,-26.1372,28.2411,South Africa
09/12/2007,O.R. Tambo,-26.1372,28.2411,South Africa
08/03/2008,O.R. Tambo,-26.1372,28.2411,South Africa
19/03/2008,O.R. Tambo,-26.1372,28.2411,South Africa
19/03/2008,O.R. Tambo,-26.1372,28.2411,South Africa
06/12/2008,O.R. Tambo,-26.1372,28.2411,South Africa
11/12/2008,O.R. Tambo,-26.1372,28.2411,South Africa
07/02/2009,O.R. Tambo,-26.1372,28.2411,South Africa
13/02/2009,O.R. Tambo,-26.1372,28.2411,South Africa
09/04/2009,O.R. Tambo,-26.1372,28.2411,South Africa
18/05/2009,O.R. Tambo,-26.1372,28.2411,South Africa
26/10/2009,O.R. Tambo,-26.1372,28.2411,South Africa
31/10/2009,O.R. Tambo,-26.1372,28.2411,South Africa
22/11/2009,O.R. Tambo,-26.1372,28.2411,South Africa
25/11/2009,O.R. Tambo,-26.1372,28.2411,South Africa
02/12/2009,O.R. Tambo,-26.1372,28.2411,South Africa
05/12/2009,O.R. Tambo,-26.1372,28.2411,South Africa
